axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:vgrd_m
34.75,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.337900161743164
34.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.507900238037109
34.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.537900447845459
34.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.3779003620147705
34.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.3279004096984863
34.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.8879003524780273
34.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.42790037393569946
34.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.6979002952575684
34.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.81790018081665
34.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.9479002952575684
34.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.127900123596191
34.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.70790034532547
34.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.772099494934082
34.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.932099342346191
34.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.7520995140075684
34.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.6320995688438416
34.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.2620996236801147
34.5,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.877900123596191
34.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.81790018081665
34.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-7.027900218963623
34.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.337900161743164
34.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.787900447845459
34.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.027900457382202
34.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.8820995688438416
34.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.7820996046066284
34.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.1920995712280273
34.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.3120994567871094
34.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.462099552154541
34.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.87209951877594
34.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.6220996379852295
34.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.4920995235443115
34.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.962099552154541
34.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.132099628448486
34.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,7.682099342346191
34.25,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.187900066375732
34.25,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.537900447845459
34.25,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-7.56790018081665
34.25,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-7.757900238037109
34.25,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-5.487900257110596
34.25,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.147900342941284
34.25,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.062099575996399
34.25,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.8420996069908142
34.25,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.3220995664596558
34.25,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.152099609375
34.25,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.23209960758686066
34.25,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.2520995140075684
34.25,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.3820996284484863
34.25,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.212099552154541
34.25,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.762099504470825
34.25,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,3.282099485397339
34.25,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,4.742099285125732
34.0,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.027900218963623
34.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.507900238037109
34.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-7.097900390625
34.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-8.00790023803711
34.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-7.077900409698486
34.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-1.8779003620147705
34.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.017900390550494194
34.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.05209960788488388
34.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.9979002475738525
34.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-2.7379002571105957
34.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,0.5420995950698853
34.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.162099599838257
34.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.8320995569229126
34.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.402099609375
34.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,2.7420995235443115
34.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,1.3920996189117432
34.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.8779003620147705
33.75,-121.25,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.077900409698486
33.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.247900485992432
33.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.377900123596191
33.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.697900295257568
33.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-6.557900428771973
33.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-4.967900276184082
33.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-3.03790020942688
33.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.5379003882408142
33.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T01:00:00",10.0,-0.6979003548622131
